2025-07-29 18:09:32 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: 8.153.90.125:9000
2025-07-29 18:09:32 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-07-29 18:09:32 | INFO     | service.storage_service:<module>:510 - 存储服务初始化成功
2025-07-29 18:09:32 | INFO     | service.dual_vector_service:__init__:87 - 配置文件中未找到retrieval配置，使用环境变量默认配置
2025-07-29 18:09:32 | INFO     | service.dual_vector_service:__init__:96 - 双向量服务初始化 - 通用模型: alibaba/text-embedding-v4, 领域模型: matbert/matbert-embedding
2025-07-29 18:09:35 | INFO     | service.triplet_extraction_service:__init__:38 - 三元组提取服务使用模型: kimi-k2-siliconflow
2025-07-29 18:09:35 | INFO     | service.triplet_extraction_service:__init__:38 - 三元组提取服务使用模型: kimi-k2-siliconflow
2025-07-29 18:09:35 | INFO     | db.repositories.arangodb_graph_repository:_initialize_connection:61 - 图 knowledge_graph 已存在
2025-07-29 18:09:35 | INFO     | db.repositories.arangodb_graph_repository:_initialize_connection:66 - ArangoDB连接成功: http://8.153.90.125:8529/mat_qa_graph
2025-07-29 18:09:36 | INFO     | service.dual_vector_service:__init__:87 - 配置文件中未找到retrieval配置，使用环境变量默认配置
2025-07-29 18:09:36 | INFO     | service.dual_vector_service:__init__:96 - 双向量服务初始化 - 通用模型: alibaba/text-embedding-v4, 领域模型: matbert/matbert-embedding
2025-07-29 18:09:36 | INFO     | service.advanced_agent_team_service:_load_v2_config:286 - [CONFIG] V2配置加载成功
2025-07-29 18:09:36 | INFO     | __main__:lifespan:77 - 
============================================================
2025-07-29 18:09:36 | INFO     | __main__:lifespan:78 - 🚀 地聚物材料智能问答系统启动
2025-07-29 18:09:36 | INFO     | __main__:lifespan:79 - ============================================================
2025-07-29 18:09:36 | INFO     | __main__:lifespan:83 - 🔍 步骤 1/7: 系统配置验证
2025-07-29 18:09:36 | INFO     | service.config_validation_service:validate_all_services:55 - 开始系统配置验证...
2025-07-29 18:09:37 | INFO     | service.config_validation_service:validate_all_services:94 - 配置验证完成，整体状态: warning
2025-07-29 18:09:37 | INFO     | __main__:lifespan:91 -    ⚠️ 配置验证完成 - 服务状态: 6/9 健康
2025-07-29 18:09:37 | WARNING  | __main__:lifespan:95 - LLM-one_api: one_api LLM环境变量未配置
2025-07-29 18:09:37 | WARNING  | __main__:lifespan:95 - LLM-alibaba: alibaba LLM环境变量未配置
2025-07-29 18:09:37 | WARNING  | __main__:lifespan:95 - Embedding-one_api_embedding: one_api_embedding向量化服务不支持网关模式，需要直连配置
2025-07-29 18:09:37 | INFO     | __main__:lifespan:114 - 应用降级配置以确保系统正常运行
2025-07-29 18:09:37 | INFO     | __main__:lifespan:122 - 💾 步骤 2/7: 数据库初始化
2025-07-29 18:09:37 | INFO     | db.database:init_all_databases:745 - 🔧 开始检查和初始化所有数据库连接...
2025-07-29 18:09:37 | INFO     | db.database:init_all_databases:748 - 📊 PostgreSQL 状态检查...
2025-07-29 18:09:37 | INFO     | db.database:init_all_databases:751 - ✅ PostgreSQL 检查完成
2025-07-29 18:09:37 | INFO     | db.database:init_all_databases:757 - 🔍 Elasticsearch 状态检查...
2025-07-29 18:09:37 | INFO     | db.database:check_and_init_elasticsearch:258 - 检测到生产环境，开始Elasticsearch状态检查...
2025-07-29 18:09:37 | INFO     | db.database:check_and_init_elasticsearch:266 - 生产环境ES URL: https://8.153.90.125:9200
2025-07-29 18:09:37 | INFO     | db.database:check_and_init_elasticsearch:279 - 生产环境使用API Key认证
2025-07-29 18:09:37 | INFO     | db.database:check_and_init_elasticsearch:294 - 生产环境Elasticsearch连接测试成功
2025-07-29 18:09:37 | INFO     | db.database:check_elasticsearch_initialized:170 - Elasticsearch已初始化，找到 3 个索引
2025-07-29 18:09:37 | INFO     | db.database:check_and_init_elasticsearch:311 - 生产环境Elasticsearch已完成初始化
2025-07-29 18:09:37 | INFO     | db.database:init_all_databases:760 - ✅ Elasticsearch 检查完成
