2025-08-05 00:35:45 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: 8.153.90.125:9000
2025-08-05 00:35:45 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-08-05 00:35:45 | INFO     | service.storage_service:<module>:622 - 存储服务初始化成功
2025-08-05 00:35:45 | INFO     | service.dual_vector_service:__init__:87 - 配置文件中未找到retrieval配置，使用环境变量默认配置
2025-08-05 00:35:45 | INFO     | service.dual_vector_service:__init__:96 - 双向量服务初始化 - 通用模型: alibaba/text-embedding-v4, 领域模型: matbert/matbert-embedding
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:49 - 知识图谱模型配置 - 默认: qwen3-30b-a3b-instruct-2507, 优先级: ['qwen3-30b-a3b-instruct-2507', 'gpt-4o-mini', 'gemini-2.5-flash-preview-nothinking', 'gemini-2.5-flash-preview-thinking']
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:56 - 找到适合的知识图谱模型: qwen3-30b-a3b-instruct-2507
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:84 - 知识图谱三元组提取服务配置 - 专用模型: qwen3-30b-a3b-instruct-2507, 块大小: 2000
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:85 - 并发配置 - 最大并发: 3, 批次大小: 3, 超时: 60s
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:86 - 调试模式: True, 最大重试: 2
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:49 - 知识图谱模型配置 - 默认: qwen3-30b-a3b-instruct-2507, 优先级: ['qwen3-30b-a3b-instruct-2507', 'gpt-4o-mini', 'gemini-2.5-flash-preview-nothinking', 'gemini-2.5-flash-preview-thinking']
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:56 - 找到适合的知识图谱模型: qwen3-30b-a3b-instruct-2507
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:84 - 知识图谱三元组提取服务配置 - 专用模型: qwen3-30b-a3b-instruct-2507, 块大小: 2000
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:85 - 并发配置 - 最大并发: 3, 批次大小: 3, 超时: 60s
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:86 - 调试模式: True, 最大重试: 2
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:49 - 知识图谱模型配置 - 默认: qwen3-30b-a3b-instruct-2507, 优先级: ['qwen3-30b-a3b-instruct-2507', 'gpt-4o-mini', 'gemini-2.5-flash-preview-nothinking', 'gemini-2.5-flash-preview-thinking']
2025-08-05 00:35:47 | INFO     | service.triplet_extraction_service:__init__:56 - 找到适合的知识图谱模型: qwen3-30b-a3b-instruct-2507
